N 당고개 409	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
N 상계 410	0	0	0	0	95	95	95	99	99	95	90	90	90	90	90	90	95	95	95	95	95	95	95	95
T 노원 411	0	0	0	0	80	90	95	95	90	85	80	80	80	80	80	80	80	80	80	80	75	75	70	65
T 창동 412	0	0	0	0	70	80	90	90	80	70	65	65	65	65	65	65	65	60	60	55	55	55	55	55
N 쌍문 413	0	0	0	0	70	70	90	90	70	70	65	65	65	65	65	65	65	50	50	50	40	40	40	40
N 수유 414	0	0	0	0	70	70	90	90	70	70	65	65	65	65	65	65	65	50	50	50	40	40	40	40
N 미아 415	0	0	0	0	70	70	90	90	70	60	65	65	65	65	65	65	65	50	50	50	40	40	40	40
N 미아사거리 416	0	0	0	0	70	70	90	90	70	60	65	65	65	65	65	65	65	50	50	50	40	40	40	40
N 길음 417	0	0	0	0	70	70	90	90	70	60	65	65	65	65	65	65	65	50	50	50	40	40	40	40
N 성신여대입구 418	0	0	0	0	70	70	90	90	70	60	65	65	65	65	65	65	65	50	50	50	40	40	40	40
N 한성대입구 419	0	0	0	0	70	70	90	90	70	60	65	65	65	65	65	65	65	50	50	50	40	40	40	40
N 혜화 420	0	0	0	0	60	65	70	70	60	55	55	50	50	50	50	60	65	70	60	50	40	35	30	30
T 동대문 421	0	0	0	0	50	50	50	50	50	50	50	50	50	50	50	50	45	30	30	40	45	40	35	35
T 동대문역사문화공원 422	0	0	0	0	50	50	50	50	50	50	50	50	50	50	50	50	45	30	30	40	45	40	35	35
T 충무로 423	0	0	0	0	50	50	50	50	50	50	50	50	50	50	50	50	45	30	30	40	45	45	50	40
N 명동 424	0	0	0	0	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50
N 회현 425	0	0	0	0	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50
T 서울역 426	0	0	0	0	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50
N 숙대입구 427	0	0	0	0	50	45	30	30	35	40	50	50	50	50	50	50	55	60	60	60	55	50	50	50
T 삼각지 428	0	0	0	0	50	45	30	30	35	40	50	50	50	50	50	50	55	60	60	60	55	50	50	50
N 신용산 429	0	0	0	0	50	45	30	30	35	40	50	50	50	50	50	50	55	60	60	60	55	50	50	50
T 이촌 430	0	0	0	0	50	45	30	30	35	40	50	50	50	50	50	50	55	60	60	60	55	50	50	50
T 동작 431	0	0	0	0	50	45	30	30	35	40	50	50	50	50	50	50	55	60	60	60	55	50	50	50
T 이수 432	0	0	0	0	40	35	20	25	30	40	40	45	45	50	50	60	65	70	70	75	75	75	75	75
T 사당 433	0	0	0	0	40	35	20	25	30	40	40	45	45	50	50	60	65	70	70	75	75	75	75	75
